,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
,0,-0.017792755,0.1539685,-0.010529983,0.142853378,0.053069451,-0.013573577,0.011490243,0.07441483,-0.181012458,0.087709829,-0.004526641,0.048731184,0.140475755,-0.12253242,0.203897711,-0.068948416,-0.075527174,0.007648879,-0.27261963,0.266466773,0.127808837,-0.028742815,-0.219631076,-0.049768285,-0.094939981,0.005939451,0.127642805,-0.182223915,0.10199944,-0.0280063,-0.099527482,-0.024772596,0.368712907,0.457017138
,1,-0.017793101,0.153967739,-0.010529982,0.142850795,0.053065776,-0.013566851,0.011485466,0.074412581,-0.181008756,0.087706017,-0.004522054,0.048729918,0.14047308,-0.122529429,0.203894816,-0.068948183,-0.07552636,0.007649117,-0.272618392,0.266463733,0.127806467,-0.028741135,-0.21962723,-0.049768893,-0.094934703,0.005937527,0.127639809,-0.182222504,0.10199562,-0.028001984,-0.099526651,-0.024773057,0.368709668,0.457017083
,2,-0.017794044,0.15396567,-0.010529979,0.142843773,0.053055788,-0.013548567,0.011472482,0.074406467,-0.180998692,0.087695654,-0.004509587,0.048726478,0.140465809,-0.122521296,0.203886947,-0.068947551,-0.075524148,0.007649762,-0.272615025,0.266455468,0.127800025,-0.028736567,-0.219616775,-0.049770545,-0.094920356,0.005932295,0.127631664,-0.182218668,0.101985237,-0.027990252,-0.099524393,-0.024774309,0.368700863,0.457016933
,3,-0.017796605,0.153960046,-0.010529972,0.142824686,0.053028636,-0.013498868,0.011437185,0.074389848,-0.180971334,0.087667486,-0.004475698,0.048717127,0.140446046,-0.122499189,0.203865555,-0.06894583,-0.075518134,0.007651517,-0.272605873,0.266433003,0.127782514,-0.02872415,-0.219588357,-0.049775036,-0.094881356,0.005918073,0.127609523,-0.18220824,0.101957013,-0.027958362,-0.099518254,-0.024777715,0.36867693,0.457016527
,4,-0.017803568,0.153944758,-0.010529952,0.142772802,0.052954831,-0.013363771,0.01134124,0.074344673,-0.180896967,0.087590916,-0.004383577,0.048691709,0.140392323,-0.122439097,0.203807405,-0.068941154,-0.075501787,0.007656287,-0.272580995,0.266371935,0.127734915,-0.028690396,-0.219511108,-0.049787244,-0.094775343,0.005879415,0.127549338,-0.182179894,0.101880291,-0.027871675,-0.099501568,-0.024786971,0.368611873,0.457015422
,5,-0.017822495,0.153903202,-0.010529898,0.142631766,0.052754207,-0.01299654,0.011080433,0.074221873,-0.180694818,0.087382778,-0.004133167,0.048622614,0.140246289,-0.12227575,0.203649339,-0.068928442,-0.075457352,0.007669255,-0.272513369,0.266205935,0.127605526,-0.028598644,-0.219301125,-0.04982043,-0.094487172,0.00577433,0.12738574,-0.182102841,0.101671741,-0.027636036,-0.099456208,-0.024812134,0.368435031,0.457012418
,6,-0.017872948,0.15379117,-0.010530327,0.142251637,0.052219294,-0.011999079,0.010371336,0.073890993,-0.180147192,0.086818245,-0.003452579,0.048412171,0.139858002,-0.121821234,0.203227835,-0.068897043,-0.075336826,0.007702353,-0.27232905,0.265755861,0.127258878,-0.028381804,-0.218714566,-0.049920676,-0.093716738,0.005489148,0.126941477,-0.181893892,0.101101029,-0.026992884,-0.099332471,-0.024831586,0.367927471,0.457005551
,7,-0.018011562,0.153486234,-0.010528986,0.141166609,0.050750331,-0.00928412,0.008548629,0.073002271,-0.178666823,0.085268206,-0.001621541,0.047866474,0.1388106,-0.120581825,0.202065625,-0.068805447,-0.075026204,0.007790148,-0.271823392,0.264533729,0.126311334,-0.027756682,-0.217136666,-0.050211793,-0.091599317,0.004715685,0.125726577,-0.181325772,0.099557592,-0.025241582,-0.098990338,-0.024938725,0.366563083,0.456983997
,8,-0.018268853,0.152621518,-0.010538533,0.138483507,0.0468063,-0.001847865,0.003560313,0.071412458,-0.174752391,0.081324743,0,0.047132886,0.136129457,-0.11703662,0.199153996,-0.068441462,-0.074081817,0.007781365,-0.270269454,0.261404878,0.123828078,-0.026055278,-0.212938323,-0.049771353,-0.086078005,0.002757379,0.122145186,-0.179693308,0.095331241,-0.020127165,-0.097222377,-0.025828341,0.362460503,0.457005187
,9,-0.018845748,0.150231562,-0.010684052,0.133303165,0.037558842,0.000924459,0.00564587,0.070329239,-0.162191474,0.072262618,0,0.043941523,0.12830476,-0.109322384,0.191990602,-0.067219945,-0.072108175,0.007066346,-0.266123638,0.254168961,0.116864091,-0.021995961,-0.200987201,-0.046565934,-0.072619754,0,0.108980687,-0.177182487,0.083182316,-0.008639145,-0.089742918,-0.027060124,0.351177711,0.457128074
