x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29	x30	x31	x32	x33	x34	x35	x36	x37	x38	x39	x40	x41	x42	x43	x44	x45	x46	x47	x48	x49	x50	x51	x52	x53	x54	x55	x56	x57	x58	x59	x60	x61	x62	x63	x64	x65	x66	x67	x68	x69	x70	x71	x72	x73	x74	x75	x76	x77	x78	x79	x80	x81	x82	x83	x84	x85	x86	x87	x88	x89	x90	x91	x92	x93	x94	x95	x96	x97	x98	x99	x100	y
54	1	0.01	0.27	0.43	0.64	0.08	0.01	0.36	0.33	0.22	0.74	0	0	0.12	0.1	0.11	0.39	0.84	0.48	0.82	0.21	0.25	0.27	0.16	0.28	1	0.86	0.03	0.57	0.46	0.49	0.3	0.54	0.13	0.05	0.77	0.18	0.57	0.61	0.33	0.58	0.63	0.35	0.41	0.44	0.42	0.55	0.23	0.4	0.01	0.29	0	0.1	0.1	0.13	0.14	0.01	0.01	0.01	0.01	0.94	0.03	0.16	0.13	0.26	0.26	0.3	0.53	0.07	0.53	0.5	0.06	0.5	0.54	0.3	0.85	0.29	0.48	0.22	0.07	0.07	0.09	0.1	0.14	0.16	0.15	0.62	0.36	0.26	0.01	0	0.05	0.82	0.68	0.79	0.78	0.02	0.17	0	0.49
48	1	0.01	0.48	0.1	0.8	0.06	0.23	0.43	0.46	0.3	0.53	0	0	0.13	0.35	0.32	0.3	0.67	0.53	0.49	0.13	0.13	0.13	0.16	0.13	0.53	0.22	0.03	0.61	0.53	0.66	0.16	0.65	0.24	0.63	0.38	0.64	0.28	0.77	0.24	0.62	0.71	0.48	0.57	0.51	0.53	0.57	0.26	0.35	0.01	0.22	0	0.25	0.33	0.36	0.51	0.07	0.09	0.09	0.11	0.81	0.09	0.31	0.28	0.45	0.38	0.59	0.54	0.26	0.51	0.5	0.04	0.45	0.59	0.43	0.73	0.48	0.94	0.37	0.02	0.03	0.05	0.1	0.13	0.16	0.17	0.49	0.44	0.57	0	0	0.12	0.75	0.5	0.66	0.81	0.06	0.06	0.04	0.28
34	1	0.01	0.36	0.01	0.97	0.06	0.06	0.24	0.41	0.24	0.58	0.03	1	0.52	0.55	0.24	0.71	0.63	0.06	0.53	0.52	0.49	0.47	1	0.7	0.32	0.89	0	0.08	0.36	0.39	0.35	0.2	0.55	0.43	0.35	0.33	0.53	0.27	0.39	0.28	0.29	0.42	0.81	0.83	0.91	0.64	0.35	0.29	0	0.03	0.01	0.18	0.28	0.28	0.27	0.13	0.19	0.17	0.15	0.72	0.15	0.16	0.15	0.4	0.48	0.27	0.64	0.06	0.51	0.5	0.01	0.9	0.59	0.1	0.53	0.17	0.03	0.17	0.53	0.49	0.48	0.68	0.66	0.73	0.67	0.51	0.7	0.78	0	0	0.32	0.74	0.82	0.72	0.81	0.01	0.42	0.21	0.03
41	1	0	0.37	0	0.96	0.05	0.04	0.39	0.42	0.26	0.61	0	0	0.15	0.26	0.26	0.44	0.67	0.49	0.63	0.16	0.17	0.16	0.17	0.12	0.27	0.3	0.02	0.49	0.32	0.48	0.13	0.71	0.29	0.65	0.44	0.69	0.28	0.62	0.28	0.63	0.65	0.4	0.52	0.56	0.39	0.56	0.52	0.51	0.01	0.29	0	0.09	0.07	0.06	0.05	0.02	0.01	0.01	0.01	0.94	0.02	0.24	0.22	0.39	0.37	0.44	0.47	0.16	0.56	0	0.01	0.82	0.49	0.1	0.46	0.52	0.38	0	0.07	0.05	0.05	0.17	0.19	0.19	0.19	0.48	0.54	0.6	0	0	0.07	0.49	0.44	0.62	0.57	0.01	0.19	0.01	0.27
40	1	0.11	0.47	0.38	0.56	0.2	0.12	0.48	0.59	0.39	0.27	0.13	1	0.21	0.66	0.35	0.32	0.32	0.32	0.68	0.19	0.19	0.22	0.2	0.11	0.17	0.31	0.11	0.42	0.19	0.31	0.29	0.61	0.47	0.19	0.53	0.37	0.44	0.53	0.29	0.61	0.6	0.49	0.59	0.58	0.59	0.49	0.41	0.45	0.04	0.25	0.03	0.26	0.32	0.33	0.36	0.11	0.11	0.11	0.11	0.82	0.07	0.22	0.22	0.49	0.48	0.51	0.47	0.2	0.48	0.5	0.27	0.38	0.49	0.23	0.53	0.58	0.5	0.45	0.09	0.09	0.09	0.2	0.22	0.23	0.23	0.51	0.46	0.29	0.04	0	0.17	0.36	0.36	0.43	0.18	0.15	0.13	0	0.39
6	1	0.16	0.64	1	0	0.15	0.72	0.48	0.62	0.4	0.18	0.17	1	0.3	0.69	0.2	0.16	0.24	0.55	0.27	0.27	0.23	0.26	0.38	0.36	0.33	0.23	0.16	0.43	0.59	0.6	0.23	0.68	0.52	0.39	0.38	0.46	0.29	0.63	0.71	0.83	0.77	0.83	0.28	0.33	0.42	0.36	0.47	0.49	0.2	0.97	0.21	0.51	0.56	0.6	0.68	1	1	0.98	1	0.3	0.9	0.94	0.79	0.68	0.71	0.68	0.17	1	0.9	0	0.14	0.74	0.2	0.24	0.23	0.4	0.26	0.53	0.43	0.43	0.42	0.56	0.53	0.6	0.53	0.77	0.77	0.37	0.01	0.22	0.86	0.36	0.43	0.79	0.64	0.02	1	0.42	0.86
40	1	0	0.24	0.19	0.78	0.07	0.04	0.18	0.41	0.18	0.56	0.02	1	0.27	0.54	0.37	0.55	0.53	0.11	0.53	0.28	0.31	0.32	0.21	0.22	0.2	0.43	0.01	0.17	0.08	0.18	0.49	0.18	0.6	0.13	0.48	0.22	0.51	0.54	0.22	0.69	0.66	0.27	0.6	0.64	0.74	0.44	0.78	0.81	0	0.08	0	0.14	0.15	0.28	0.3	0.02	0.02	0.04	0.04	0.94	0.02	0.08	0.08	0.27	0.2	0.44	0.57	0.07	0.36	0.5	0.02	0.68	0.63	0.1	0.66	0.4	0.15	0	0.09	0.07	0.07	0.32	0.29	0.28	0.3	0.31	0.33	0.29	0	0	0.06	0.62	0.58	0.77	0.76	0	0.34	0	0.25
48	1	0.02	0.73	0.03	0.89	0.19	0.13	0.38	0.53	0.21	0.02	0.03	1	0.49	0.97	0.12	0.36	0.07	0.04	0.14	0.41	0.28	0.27	0.48	0.25	0.2	0.4	0	0.04	0.09	0.24	0.23	0.15	0.88	0.51	0.11	0.32	0.36	0.37	0.17	0.38	0.38	0.71	0.89	0.88	0.95	0.77	0.71	0.63	0	0.07	0.01	0.2	0.33	0.42	0.52	0.06	0.08	0.09	0.11	0.85	0.08	0.25	0.3	0.81	0.74	0.96	0.79	0.18	0	0.5	0.02	0.82	0.82	0.09	0.46	0.88	0.05	0.25	0.14	0.12	0.09	0.57	0.49	0.49	0.62	0.33	0.55	0.36	0	0	0.12	0.62	0.45	0.62	0.7	0.01	0.41	0	0.07
12	2	0	0.19	0.18	0.82	0.07	0.11	0.16	0.31	0.15	0.56	0.02	1	0.25	0.57	0.12	0.45	0.48	0.09	0.27	0.3	0.39	0.42	0.17	0.17	0.24	0.32	0.01	0.33	0.19	0.33	0.24	0.22	0.62	0.15	0.37	0.27	0.36	0.94	0.52	0.86	0.93	0.26	0.44	0.5	0.51	0.27	0.71	0.8	0.01	0.26	0.01	0.51	0.56	0.56	0.57	0.5	0.48	0.44	0.42	0.73	0.28	0.19	0.13	0.18	0.19	0.22	0.48	0.22	0.77	0	0.03	0.62	0.48	0.14	0.32	0.52	0.33	0.11	0.21	0.2	0.2	0.42	0.37	0.38	0.39	0.67	0.46	0.37	0.01	0	0.42	0.14	0.43	0.63	0.45	0	0.51	0.14	0.35
48	2	0.09	0.54	0.23	0.59	0.04	0.43	0.51	0.56	0.37	0.3	0.1	1	0.31	0.61	0.19	0.37	0.37	0.29	0.38	0.3	0.27	0.32	0.2	0.13	0.78	0.24	0.09	0.42	0.44	0.5	0.22	0.51	0.45	0.47	0.3	0.48	0.27	0.59	0.35	0.59	0.61	0.62	0.6	0.58	0.63	0.57	0.2	0.2	0.03	0.22	0.04	0.29	0.33	0.4	0.47	0.2	0.2	0.22	0.24	0.63	0.3	0.44	0.41	0.58	0.59	0.58	0.46	0.42	0.56	0	0.14	0.57	0.47	0.65	0.52	0.6	0.6	0.43	0.07	0.07	0.08	0.21	0.23	0.24	0.24	0.29	0.22	0.33	0.01	0.05	0.29	0.66	0.48	0.7	0.77	0.09	0.17	0.01	0.23
