,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,-0.079627372,0,-0.064261805,0.413995175,0.238828093,-0.595623459,0.351964192,0.267764318,-0.35908789,0.512617306,-0.321711803,-0.264532607,-0.017550769,-0.187460415,-0.221130017,0.525921714,-0.125092352,0.568746464,0.651486411,-0.51287957,-0.158707642,-0.002227489,-0.096437731,-0.402697474,0.054540622,0.473318354,-0.178334974,0.072649526
1,-0.07962623,-4.39E-17,-0.064280623,0.413982423,0.238845348,-0.595596351,0.351947041,0.267751911,-0.359051462,0.5126082,-0.321693446,-0.264542021,-0.017579949,-0.187435918,-0.221130618,0.525898596,-0.125061819,0.568735033,0.651469554,-0.512854634,-0.158703429,-0.002254201,-0.096428098,-0.402682832,0.054515499,0.473303829,-0.178290471,0.072616676
2,-0.079623125,-3.13E-18,-0.064331775,0.413947758,0.238892253,-0.595522664,0.351900419,0.267718185,-0.35895244,0.512583447,-0.321643547,-0.264567611,-0.017659268,-0.187369329,-0.221132251,0.525835754,-0.124978821,0.568703961,0.651423733,-0.512786849,-0.158691977,-0.002326812,-0.096401915,-0.402643032,0.05444721,0.473264346,-0.1781695,0.072527379
3,-0.079614685,-9.88E-18,-0.06447082,0.413853527,0.239019755,-0.595322363,0.351773689,0.267626509,-0.358683272,0.512516162,-0.321507906,-0.264637173,-0.017874882,-0.187188319,-0.22113669,0.525664931,-0.124753208,0.568619499,0.651299177,-0.512602592,-0.158660846,-0.002524189,-0.096330743,-0.402534844,0.054261578,0.47315702,-0.177840665,0.072284646
4,-0.079595188,0,-0.064843523,0.413594708,0.239365876,-0.594781277,0.351428696,0.267382732,-0.357953159,0.512330913,-0.321138712,-0.264819741,-0.018418941,-0.186735599,-0.221152105,0.525199724,-0.124143776,0.568389155,0.650964762,-0.512104148,-0.158587818,-0.003012872,-0.096157855,-0.402250766,0.053767128,0.472857993,-0.176951059,0.071620694
5,-0.079567404,-7.10E-17,-0.065839811,0.412890683,0.240311686,-0.593333708,0.350501268,0.266745671,-0.355985661,0.511818658,-0.320129669,-0.265302328,-0.01992914,-0.185474524,-0.221187278,0.523944599,-0.122505416,0.567765104,0.65006129,-0.510748455,-0.158456258,-0.004172266,-0.095734323,-0.401511911,0.052452574,0.47203225,-0.174558959,0.069793225
6,-0.079712153,-8.61E-18,-0.068504372,0.410928304,0.242956289,-0.589613011,0.348020872,0.265239402,-0.350737396,0.510378841,-0.317394111,-0.266443897,-0.02395353,-0.182098324,-0.221202141,0.520604419,-0.118274726,0.566050572,0.647534253,-0.506942285,-0.158786498,-0.005981031,-0.094787677,-0.399685863,0.049065592,0.469744632,-0.168289018,0.064734418
7,-0.081310895,-8.33E-17,-0.074844654,0.404774647,0.250052538,-0.580254593,0.341689085,0.262478861,-0.337461451,0.506271909,-0.310057178,-0.268813753,-0.03298703,-0.174773379,-0.220718315,0.511884986,-0.107539234,0.561337658,0.640398263,-0.496322328,-0.163580437,-0.005131838,-0.092248315,-0.394976088,0.040236852,0.463013347,-0.151807666,0.050705259
8,-0.084153372,0,-0.091864734,0.386413596,0.268703705,-0.554451015,0.324340502,0.25258831,-0.296867052,0.494365606,-0.292265326,-0.274406159,-0.051572956,-0.160023569,-0.219980666,0.488204893,-0.078563515,0.547927527,0.621182804,-0.467760964,-0.178482683,-0.001164097,-0.08171628,-0.382818847,0.012509455,0.445324693,-0.106821277,0.013715521
9,-0.078266259,-4.52E-17,-0.150896714,0.301815207,0.300856752,-0.475721467,0.270268977,0.224356215,-0.220882927,0.470344614,-0.232374107,-0.271834516,-0.073677725,-0.137032301,-0.23452626,0.425917864,-0.038393634,0.506570203,0.543143557,-0.356728977,-0.205284371,0,-0.057937959,-0.338318887,-0.009720656,0.400815675,-0.032878986,-0.004074295
10,-0.036371594,-4.11E-18,-0.206134578,0.080360797,0.353339459,-0.290652816,0.111917854,0.157430972,-0.000987155,0.429227736,-0.099098749,-0.271359934,-0.065188074,-0.138021054,-0.236775817,0.276568147,0,0.410955929,0.344171625,-0.072257362,-0.247146107,0,0,-0.237405374,-0.058589745,0.344997216,0,-0.028781952
11,0,0,-0.014782964,0,0.290922044,0,0,0,0,0.370641384,0,-0.092149522,0,-0.111115444,-0.082972416,0.0463274,0,0.158714213,0,0,-0.182752432,0,0,0,0,0.157804014,0,0
12,0,0,0,0,0.152309983,0,0.01583833,0,0,0.299616865,0,0,0,0,0,0.000928729,0,0.029999501,0,0,0,0,0,0,0,0.012571885,0,0
13,0,0,0,0,0.163774736,0,0.003199412,0,0,0.207348468,0,0,0,0,0,0,0,0.000508958,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0.044639347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
